# COUNTRY,ANN_POP_WGHT,MAM_POP_WGHT,JJA_POP_WGHT,SON_POP_WGHT,DJF_POP_WGHT,FRAC_POP,T2016,T2016_LOW,T2016_HIGH,T2016_NOTHRES,T2016_NOTHRES_LOW,T2016_NOTHRES_HIGH,T2016_30p,T2016_LOW_30p,T2016_HIGH_30p, T2016_NOTHRES_30p,T2016_NOTHRES_LOW_30p,T2016_NOTHRES_HIGH_30p
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,35.02,40.76,45.44,29.24,24.66,1.0,54.35,37.53,70.05,196.99,142.13,243.66,543.07,374.86,700.21,2003.55,1445.12,2478.94
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,40.3,46.33,51.7,34.51,28.64,1.0,0.86,0.6,1.11,2.19,1.59,2.69,1.53,1.07,1.96,3.87,2.82,4.75
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua+Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,36.74,42.82,54.48,26.8,22.85,1.0,192.23,132.92,247.42,609.72,440.95,752.53,713.59,493.47,918.42,2254.61,1630.66,2782.48
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,13.5,16.03,18.33,10.13,9.52,0.39,92.27,63.57,119.19,347.4,250.4,430.09,162.88,112.21,210.4,613.8,442.41,759.91
Belgium,30.6,35.14,42.62,22.42,22.21,1.0,175.56,120.13,228.26,1202.62,861.09,1498.03,636.71,435.8,827.58,4261.45,3051.83,5307.34
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,3.22,3.39,3.6,2.91,2.97,0.05,8.76,6.53,10.53,11.36,8.79,13.21,267.61,199.37,321.53,346.77,268.36,403.09
Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia+Herzegovina,35.24,41.15,48.83,27.54,23.43,1.0,90.56,62.55,116.67,324.58,234.25,401.39,385.25,266.13,496.36,1378.91,995.16,1705.18
