ref_area.label,time,obs_value,classif2.label,sex.label,classif1.label,,
Albania,2019,476.83,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): Total,,4.675666667
Albania,2019,887.21,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 1. Managers,,
Albania,2019,643.8,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 2. Professionals,,
Albania,2019,541.85,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 3. Technicians and associate professionals,,
Albania,2019,510.54,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 4. Clerical support workers,,
Albania,2019,358.04,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 5. Service and sales workers,,
Albania,2019,297.38,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 6. Skilled agricultural  forestry and fishery workers,,
Albania,2019,328.74,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 7. Craft and related trades workers,,
Albania,2019,331.45,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 8. Plant and machine operators  and assemblers,,
Albania,2019,289.88,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 9. Elementary occupations,,
Angola,2011,588.85,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): Total,,
Angola,2011,780.51,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 1. Managers,,
Angola,2011,1446.2,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 2. Professionals,,
Angola,2011,599.91,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 3. Technicians and associate professionals,,
Angola,2011,379.36,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 4. Clerical support workers,,
Angola,2011,447.14,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 5. Service and sales workers,,
Angola,2011,272.71,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 6. Skilled agricultural  forestry and fishery workers,,
Angola,2011,790.21,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 7. Craft and related trades workers,,
Angola,2011,575.15,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 8. Plant and machine operators  and assemblers,,
Angola,2011,387.76,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 9. Elementary occupations,,
Argentina,2019,530.92,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): Total,,
Argentina,2019,1299.05,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 1. Managers,,
Argentina,2019,694.76,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 2. Professionals,,
Argentina,2019,720.38,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 3. Technicians and associate professionals,,
Argentina,2019,622.27,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 4. Clerical support workers,,
Argentina,2019,416.76,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 5. Service and sales workers,,
Argentina,2019,385.2,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 6. Skilled agricultural  forestry and fishery workers,,
Argentina,2019,476.22,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 7. Craft and related trades workers,,
Argentina,2019,563.12,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 8. Plant and machine operators  and assemblers,,
Argentina,2019,266.21,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 9. Elementary occupations,,
Armenia,2018,219.69,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): Total,,
Armenia,2018,316.85,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 1. Managers,,
Armenia,2018,255.77,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 2. Professionals,,
Armenia,2018,201.25,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 3. Technicians and associate professionals,,
Armenia,2018,191.16,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 4. Clerical support workers,,
Armenia,2018,210.78,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 5. Service and sales workers,,
Armenia,2018,203.93,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 6. Skilled agricultural  forestry and fishery workers,,
Armenia,2018,222.79,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 7. Craft and related trades workers,,
Armenia,2018,245.15,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 8. Plant and machine operators  and assemblers,,
Armenia,2018,162.57,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 9. Elementary occupations,,
Aruba,2010,1683.24,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): Total,,
Aruba,2010,3364.25,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 1. Managers,,
Aruba,2010,2862.01,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 2. Professionals,,
Aruba,2010,2218.99,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 3. Technicians and associate professionals,,
Aruba,2010,1560.34,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 4. Clerical support workers,,
Aruba,2010,1186.59,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 5. Service and sales workers,,
Aruba,2010,1238.55,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 6. Skilled agricultural  forestry and fishery workers,,
Aruba,2010,1374.86,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 7. Craft and related trades workers,,
Aruba,2010,1290.5,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 8. Plant and machine operators  and assemblers,,
Aruba,2010,879.33,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 9. Elementary occupations,,
Australia,2014,8250.46,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 1. Managers,,
Australia,2014,6042.84,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 2. Professionals,,
Australia,2014,5161.12,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 3. Technicians and associate professionals,,
Australia,2014,8250.46,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 1. Managers,,
Australia,2014,6042.84,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 2. Professionals,,
Australia,2014,5161.12,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 3. Technicians and associate professionals,,
Australia,2014,8250.46,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 1. Managers,,
Australia,2014,6042.84,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 2. Professionals,,
Australia,2014,5161.12,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 3. Technicians and associate professionals,,
Australia,2014,8250.46,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 1. Managers,,
Austria,2017,0,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): Total,,
Austria,2017,0,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 1. Managers,,
Austria,2017,0,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 2. Professionals,,
Austria,2017,0,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 3. Technicians and associate professionals,,
Austria,2017,2603.92,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 4. Clerical support workers,,
Austria,2017,1781.51,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 5. Service and sales workers,,
Austria,2017,1843.64,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 6. Skilled agricultural  forestry and fishery workers,,
Austria,2017,3235.41,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 7. Craft and related trades workers,,
Austria,2017,2917.97,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 8. Plant and machine operators  and assemblers,,
Austria,2017,1665.15,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 9. Elementary occupations,,
Azerbaijan,2019,373.41,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): Total,,
Bangladesh,2017,149.38,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): Total,,
Bangladesh,2017,392.78,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 1. Managers,,
Bangladesh,2017,261.1,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 2. Professionals,,
Bangladesh,2017,237.94,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 3. Technicians and associate professionals,,
Bangladesh,2017,192.24,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 4. Clerical support workers,,
Bangladesh,2017,140.32,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 5. Service and sales workers,,
Bangladesh,2017,104.21,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 6. Skilled agricultural  forestry and fishery workers,,
Bangladesh,2017,126.23,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 7. Craft and related trades workers,,
Bangladesh,2017,142.79,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 8. Plant and machine operators  and assemblers,,
Bangladesh,2017,93.63,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 9. Elementary occupations,,
Belgium,2016,3421.44,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): Total,,
Belgium,2016,7215.9,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 1. Managers,,
Belgium,2016,4913.54,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 2. Professionals,,
Belgium,2016,3876.37,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 3. Technicians and associate professionals,,
Belgium,2016,3021.85,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 4. Clerical support workers,,
Belgium,2016,2136.32,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 5. Service and sales workers,,
Belgium,2016,0,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 6. Skilled agricultural  forestry and fishery workers,,
Belgium,2016,2997.49,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 7. Craft and related trades workers,,
Belgium,2016,3026.27,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 8. Plant and machine operators  and assemblers,,
Belgium,2016,2098.69,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 9. Elementary occupations,,
Belize,2018,608.98,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): Total,,
Belize,2018,888.64,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 1. Managers,,
Belize,2018,1333.73,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 2. Professionals,,
Belize,2018,1133.47,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 3. Technicians and associate professionals,,
Belize,2018,922.57,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 4. Clerical support workers,,
Belize,2018,708.22,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 5. Service and sales workers,,
Belize,2018,538.26,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 6. Skilled agricultural  forestry and fishery workers,,
Belize,2018,385.21,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 7. Craft and related trades workers,,
Belize,2018,609.73,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 8. Plant and machine operators  and assemblers,,
Belize,2018,617.7,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 9. Elementary occupations,,
Bolivia,2018,448.62,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): Total,,
Bolivia,2018,839.92,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 1. Managers,,
Bolivia,2018,638.58,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 2. Professionals,,
Bolivia,2018,510.33,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 3. Technicians and associate professionals,,
Bolivia,2018,420.99,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 4. Clerical support workers,,
Bolivia,2018,293.19,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 5. Service and sales workers,,
Bolivia,2018,321.8,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 6. Skilled agricultural  forestry and fishery workers,,
Bolivia,2018,411.86,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 7. Craft and related trades workers,,
Bolivia,2018,481.47,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 8. Plant and machine operators  and assemblers,,
Bolivia,2018,281.77,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 9. Elementary occupations,,
Bosnia and Herzegovina,2019,474.54,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): Total,,
Bosnia and Herzegovina,2019,807.85,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 1. Managers,,
Bosnia and Herzegovina,2019,641.07,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 2. Professionals,,
Bosnia and Herzegovina,2019,510.31,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 3. Technicians and associate professionals,,
Bosnia and Herzegovina,2019,483.74,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 4. Clerical support workers,,
Bosnia and Herzegovina,2019,393.69,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 5. Service and sales workers,,
Bosnia and Herzegovina,2019,494.14,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 6. Skilled agricultural  forestry and fishery workers,,
Bosnia and Herzegovina,2019,469.73,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 7. Craft and related trades workers,,
Bosnia and Herzegovina,2019,471.36,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 8. Plant and machine operators  and assemblers,,
Bosnia and Herzegovina,2019,363.29,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 9. Elementary occupations,,
Brazil,2019,603.46,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): Total,,
Brazil,2019,1556.63,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 1. Managers,,
Brazil,2019,1268.56,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 2. Professionals,,
Brazil,2019,774.61,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 3. Technicians and associate professionals,,
Brazil,2019,502.31,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 4. Clerical support workers,,
Brazil,2019,397.15,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 5. Service and sales workers,,
Brazil,2019,313.2,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 6. Skilled agricultural  forestry and fishery workers,,
Brazil,2019,452.22,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 7. Craft and related trades workers,,
Brazil,2019,487.66,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 8. Plant and machine operators  and assemblers,,
Brazil,2019,272.69,Currency: U.S. dollars,Sex: Total,Occupation (ISCO-08): 9. Elementary occupations,,
